ProductId,Image Url,Video Url,Product Desc,Discount Price,Discount,Currency,Commission Rate,Commission,Relevant Market Commission Rate,Relevant Market Commission,Sales30Day,Store Level,Comment Score,Promotion Url,Seller Code,Code Available Time Start,Code Available Time End,Code Campaign Type,Code Value/Rate,Code Mini Spend,Code Quantity,Code Promotion Url
1005003725283684,https://ae01.alicdn.com/kf/Hae476ace15c249feb398364d10ed89639.jpg_350x350.jpg,"https://cloud.video.taobao.com/play/u/2212160693252/p/1/e/6/t/10301/343067864195.mp4,https://cloud.video.taobao.com/play/u/2212160693252/p/1/e/6/t/10301/344030086039.mp4",Full Swiss Lace 8x10 Hair System Replacement 100% Human Remy Hair Toupee For Men Wig Units Bleached Knots,USD 215.00,100,USD,7%,USD 15.05,3%,USD 6.45,0,No Score,0,https://s.click.aliexpress.com/e/_AW9T73,,,,,,,,
1005003685296845,https://ae01.alicdn.com/kf/H0ccc6a1ba17347aca5c8b87fc37f9bcdQ.png_350x350.png,https://cloud.video.taobao.com/play/u/2210916358433/p/1/e/6/t/10301/345542970701.mp4,"Makita Brushless Lithium battery 12V rechargeable impact screwdriver, impact drill, LED Lich，multi-function electric screwdriver",USD 83.00,75,USD,7%,USD 5.81,3%,USD 2.49,0,Good,4,https://s.click.aliexpress.com/e/_97s5Yz,,,,,,,,
1005003658139516,https://ae01.alicdn.com/kf/Se162e75ff6164359817666c7478dfb656.jpg_350x350.jpg,https://cloud.video.taobao.com/play/u/1661901574/p/1/e/6/t/10301/345384921063.mp4,Summer Thin Girls Chiffon Suit  2 Piece Set Children Sleeveless Clothes Baby Girls Vest + Trousers Casual Outfits Wave Point Top,USD 0.01,1,USD,9%,USD 0.00,3%,USD 0.00,360,Good,4.7,https://s.click.aliexpress.com/e/_ASguVL,,,,,,,,
1005003640116827,https://ae01.alicdn.com/kf/S2521dcc5048f44e49304a6cc8d2e8504K.jpg_350x350.jpg,,Children Backpack Anti Stress Relief POP ITS Bags Kids Fidget Toy Soft Squishy Push Bubble Squeeze Girls Boys Bag Storage Shiny,USD 6.65,56,USD,8%,USD 0.53,8%,USD 0.53,114,Good,4.7,https://s.click.aliexpress.com/e/_A9PEo1,,,,,,,,
1005003629927522,https://ae01.alicdn.com/kf/H6c0a55dd6b3a4a39b34626dc4e77e5d8T.jpg_350x350.jpg,,White Muslim Long Sleeve Wedding Dresses A-Line Vestido De Noiva 2022 Chiffon Elegant Dubai Arabic Hajab Bride Dress,USD 88.20,60,USD,7%,USD 6.17,3%,USD 2.65,0,Average,0,https://s.click.aliexpress.com/e/_AmOCJf,,,,,,,,
1005003629760822,https://ae01.alicdn.com/kf/H6ffe5edccb984ed0bc8f776642e27966k.jpg_350x350.jpg,https://cloud.video.taobao.com/play/u/3165276014/p/1/e/6/t/10301/291175095715.mp4,Kawasaki  Badminton Shoes 2021 Breathable Anti-Slippery Sport Shoes for Men Women Super Light Sneakers K-170D,USD 68.96,65,USD,7%,USD 4.83,3%,USD 2.07,6,Good,4.3,https://s.click.aliexpress.com/e/_A6guK5,,,,,,,,
1005003623145813,https://ae01.alicdn.com/kf/Sd7b4aed1daa04feaa6462da7c71d8513h.jpg_350x350.jpg,https://cloud.video.taobao.com/play/u/2212284237703/p/1/e/6/t/10301/343322747227.mp4,Full Cover Inner Muslim Cotton Hijab Cap Islamic Head Wear Caps Underscarf Bone Bonnet Turkish Scarves Muslim Headcover,USD 3.64,41,USD,9%,USD 0.33,9%,USD 0.33,143,Top,4.3,https://s.click.aliexpress.com/e/_AmipVB,,,,,,,,
1005003611785898,https://ae01.alicdn.com/kf/Hd997a189be914648aba798b7cb3e54b6o.jpg_350x350.jpg,https://cloud.video.taobao.com/play/u/2200706183881/p/1/e/6/t/10301/343026396545.mp4,Andstal Brutfuner Macaron 50 Color Professional Artist Colored Pencils Pastel Pencil For School Drawing Sketching Art Supplies,USD 17.04,55,USD,8%,USD 1.36,8%,USD 1.36,933,Top,5,https://s.click.aliexpress.com/e/_Ag4d9J,,,,,,,,
1005003611153956,https://ae01.alicdn.com/kf/H6f96179cdf6a4b5180700986b10f519eD.jpg_350x350.jpg,,NEW PENN Pursuit IV Spinning Fishing Reel 3000-8000 Fishing Reel 5 BB Lightweight and Corrosion-resistant graphite body,USD 54.00,50,USD,7%,USD 3.78,3%,USD 1.62,9,Good,3.9,https://s.click.aliexpress.com/e/_9h9v4l,,,,,,,,
1005003606866984,https://ae01.alicdn.com/kf/Hc8d432c4b72f4dceb82b39431060dbbfm.jpg_350x350.jpg,"https://cloud.video.taobao.com/play/u/2211713819408/p/1/e/6/t/10301/338722269954.mp4,https://cloud.video.taobao.com/play/u/2211713819408/p/1/e/6/t/10301/338240380720.mp4","SONOFF NSPanel WiFi Smart Scene Switch EU/US Thermostat Temperature All-in-One Control Touch Screen Work with Google Home, Alexa",USD 50.39,56,USD,7%,USD 3.53,3%,USD 1.51,80,Top,4.9,https://s.click.aliexpress.com/e/_A2KhzX,,,,,,,,
1005003599102209,https://ae01.alicdn.com/kf/Hdd4328cba6e54ff7a0e7bc9529e93d89D.jpg_350x350.jpg,https://cloud.video.taobao.com/play/u/3228787898/p/1/e/6/t/10301/338888303180.mp4,High Elasticity Seamless Men's Shirt Long Sleeve Slim Casual Shirt Solid Color Business Formal Dress Shirts Social Party Blouse,USD 28.40,50,USD,9%,USD 2.56,3%,USD 0.85,46,Good,4.6,https://s.click.aliexpress.com/e/_AnGNj3,,,,,,,,
1005003595394944,https://ae01.alicdn.com/kf/Hd57210419b564387a64064928c5f4ed3w.jpg_350x350.jpg,,Fashion Summer Rubber Sandals Flip Flops Women Men Leopard Slippers Ladies Shoes Indoor Outdoor Flip-Flops Beach Flat Slides,USD 3.52,100,USD,8%,USD 0.28,8%,USD 0.28,278,Average,4.5,https://s.click.aliexpress.com/e/_ANrYxf,,,,,,,,
1005003589270057,https://ae01.alicdn.com/kf/Hf68ed1dbcf6a4b3b96b25a38b0ea824ch.jpg_350x350.jpg,"https://cloud.video.taobao.com/play/u/1095216890732/p/1/e/6/t/10301/342963844234.mp4,https://cloud.video.taobao.com/play/u/1095216890732/p/1/e/6/t/10301/343460273568.mp4",COLMI P28 Plus Bluetooth Answer Call Smart Watch Men IP67 waterproof Women Dial Call Smartwatch GTS3 GTS 3 for Android iOS Phone,USD 26.98,45,USD,7%,USD 1.89,3%,USD 0.81,1435,Top,4.9,https://s.click.aliexpress.com/e/_ALR4al,,,,,,,,
1005003578758485,https://ae01.alicdn.com/kf/H4e3da7b2acbc4c4c9ceb91e1f0e68184h.jpg_350x350.jpg,https://cloud.video.taobao.com/play/u/1665707502/p/1/e/6/t/10301/337330469311.mp4,K-pop Outfit Women Camouflage Dancer Outfit Festival Clothing Rave Stage Costume Hip Hop Dancewear Gogo Dancer Costume JL3872,USD 48.15,64,USD,7%,USD 3.37,3%,USD 1.44,8,Good,5,https://s.click.aliexpress.com/e/_AZSPEZ,,,,,,,,
1005003573587318,https://ae01.alicdn.com/kf/H4895599ee86e41d18272675436b48842l.jpg_350x350.jpg,"https://cloud.video.taobao.com/play/u/3087240343/p/1/e/6/t/10301/336724636223.mp4,https://cloud.video.taobao.com/play/u/3087240343/p/1/e/6/t/10301/338032999155.mp4",Men Watch Luxury Set Wolf Bracelet Black Quartz Watches Crown Bead Bracelets Male Wristwatch Gift Boyfriend Husband Reloj Hombre,USD 4.81,53,USD,8%,USD 0.38,8%,USD 0.38,107,Good,4.8,https://s.click.aliexpress.com/e/_9wlZTx,,,,,,,,
1005003569025821,https://ae01.alicdn.com/kf/Sf116757867ce44899095580212b431b9H.jpg_350x350.jpg,https://cloud.video.taobao.com/play/u/2209829987713/p/1/e/6/t/10301/345102422074.mp4,2021 Jewelry 925 Sterling Silver Sparkling Clavicle Chain Choker Necklace Green Diamond Gypsophila Pendant Necklace for Women,USD 0.01,1,USD,8%,USD 0.00,8%,USD 0.00,736,Good,4.9,https://s.click.aliexpress.com/e/_A5n9Mz,,,,,,,,
1005003557611166,https://ae01.alicdn.com/kf/Heb960916c8d24af8be2df22d96a9e28aP.jpg_350x350.jpg,,Anker PowerConf C200 2K USB Webcam for Laptop Computer mini Camera AI-Noise Cancelling Stereo Microphones Low-Light Correction,USD 46.96,53,USD,8%,USD 3.76,8%,USD 3.76,151,Top,4.8,https://s.click.aliexpress.com/e/_AZiH9J,,,,,,,,
1005003533843148,https://ae01.alicdn.com/kf/Hca2525cbf8654cb294eaf93aee0dd86aJ.jpg_350x350.jpg,,Tea Tree Essential Oil Compound Plant Hydrating Oil-control Remove Pore Anti-acne Moisturizing Brighten Face Skin Care Product,USD 0.01,1,USD,7%,USD 0.00,6%,USD 0.00,302,Good,4.7,https://s.click.aliexpress.com/e/_ATR3HB,,,,,,,,
1005003529077026,https://ae01.alicdn.com/kf/Hf21960e816674cf3bb81d9b3df187dcde.jpg_350x350.jpg,"https://cloud.video.taobao.com/play/u/2200631499417/p/1/e/6/t/10301/336453787567.mp4,https://cloud.video.taobao.com/play/u/2200631499417/p/1/e/6/t/10301/336047154875.mp4",Women's Wallet PU Leather Women's Wallet Made of Leather Women Purses Card Holder Foldable Portable Lady Coin Purses,USD 3.61,50,USD,7%,USD 0.25,3%,USD 0.11,552,Good,4.6,https://s.click.aliexpress.com/e/_AtksSH,,,,,,,,
1005003528765351,https://ae01.alicdn.com/kf/Hc3fbe63b849d4a09930909be363dad37b.jpg_350x350.jpg,"https://cloud.video.taobao.com/play/u/17289704157/p/1/e/6/t/10301/244901874754.mp4,https://cloud.video.taobao.com/play/u/17289704157/p/1/e/6/t/10301/280817533483.mp4",Techage 4K Security Camera System Ultra HD 8MP POE NVR Two-Way Audio Face Detect Color Night Vision CCTV Video Surveillance Set,USD 162.73,50,USD,7%,USD 11.39,3%,USD 4.88,75,Good,4.9,https://s.click.aliexpress.com/e/_AqOC8Z,,,,,,,,
1005003524904753,https://ae01.alicdn.com/kf/He19a9cc029934a4396d8e40ec35785c9R.jpg_350x350.jpg,,Mens Gym Compression Shirt Male Rashgard Fitness Long Sleeves Running Clothes Homme T Shirt Football Jersey Sportswear Dry Fit,USD 13.55,71,USD,8%,USD 1.08,8%,USD 1.08,60,Good,4.9,https://s.click.aliexpress.com/e/_AnUzJF,,,,,,,,
1005003521689092,https://ae01.alicdn.com/kf/H60a9194c84f44365b72882153d014f36r.jpg_350x350.jpg,https://cloud.video.taobao.com/play/u/3205739670/p/1/e/6/t/10301/341981468294.mp4,Super Bright Flashlight Ultra Powerful Led Torch Light Rechargeable COB Side Light 4 Modes Outdoor Adventure 3 In 1 Flashlight,USD 10.76,60,USD,8%,USD 0.86,8%,USD 0.86,471,Good,4.4,https://s.click.aliexpress.com/e/_97fbbb,,,,,,,,
1005003515563207,https://ae01.alicdn.com/kf/H95474ab0c3b64beb9f80924356fa78ebl.jpg_350x350.jpg,https://cloud.video.taobao.com/play/u/17381327991/p/1/e/6/t/10301/337478580604.mp4,Joyroom Magnetic Case For iPhone 13 12 Pro Max Transparent Cover For iPhone 13 Pro Max Case Wireless Charger Magnet Back Cover,USD 7.46,43,USD,8%,USD 0.60,8%,USD 0.60,3091,Top,4.8,https://s.click.aliexpress.com/e/_AUDn0z,,,,,,,,
1005003504008991,https://ae01.alicdn.com/kf/Hb8083247c3ac42cbab2de73583ae2db4x.jpg_350x350.jpg,,Hot Women's Underwear Lace Embroidery Bra Sets Underwear Set Women Bras Lingerie Set With Brief Sexy Lingerie Lace Woman Clothes,USD 4.99,95,USD,7%,USD 0.35,3%,USD 0.15,70,Good,4.5,https://s.click.aliexpress.com/e/_9uPPJL,,,,,,,,
1005003499877196,https://ae01.alicdn.com/kf/H92fdcf609612405cbf34cf240c103854y.jpg_350x350.jpg,https://cloud.video.taobao.com/play/u/2212110060966/p/1/e/6/t/10301/335336827812.mp4,Cartoon Bear Hear Elastic Band for Women Girls Hair Ties Ponytail Rubber Band New Simple Cute Children Hair Rope Accessories,USD 0.01,1,USD,7%,USD 0.00,3%,USD 0.00,98,Average,4.7,https://s.click.aliexpress.com/e/_AFZlKt,,,,,,,,
1005003498871936,https://ae01.alicdn.com/kf/H71ec0528ec8445a082c7f69ab828c96dB.jpg_350x350.jpg,,Men Running Leggings Thicker Compression 2 in 1 Fast-Dry Mesh Elastic Gym Workout Body Toned Athlete Training Sport Jogger Pants,USD 14.12,68,USD,8%,USD 1.13,8%,USD 1.13,19,Good,4.5,https://s.click.aliexpress.com/e/_An8SDL,,,,,,,,
1005003489236400,https://ae01.alicdn.com/kf/H2122a6e2c93342589b2748eb8dacbbd04.jpg_350x350.jpg,,New Luxury Badminton Shoes Men Women Big Size 36-47 Comfortable Badminton Sneakers Light Weight Tennis Footwears Ladies,USD 37.57,55,USD,7%,USD 2.63,4%,USD 1.50,4,Good,1,https://s.click.aliexpress.com/e/_9Qwxf3,,,,,,,,
1005003481277002,https://ae01.alicdn.com/kf/H05c9ff7dfa8e45088e00563b645135dcX.jpeg_350x350.jpeg,https://cloud.video.taobao.com/play/u/2212402158872/p/1/e/6/t/10301/335339311255.mp4,Sewing Kits DIY Multi-function Sewing Box Set for Hand Quilting Stitching Embroidery Thread Sewing Accessories Sewing Kits,USD 0.90,12,USD,7%,USD 0.06,50%,USD 0.45,93,Good,4.5,https://s.click.aliexpress.com/e/_AabiA9,,,,,,,,
1005003473728812,https://ae01.alicdn.com/kf/Sa8bbbebc6efa48dcb8d2a08f92761259X.jpg_350x350.jpg,https://cloud.video.taobao.com/play/u/2212721904832/p/1/e/6/t/10301/332910024655.mp4,Household Food Vacuum Sealer Food Packaging Machine Film Sealer EU Plug Vacuum Packer With 10pcs Food Vacuum Bags Kichen Tool,USD 5.49,59,USD,7%,USD 0.38,3%,USD 0.16,462,Good,4.7,https://s.click.aliexpress.com/e/_AqWcs1,,,,,,,,
1005003466800545,https://ae01.alicdn.com/kf/Hba897db04b1a487092b8621f92e57e32W.jpg_350x350.jpg,,Vestido De Novia Lace Long Sleeves Wedding Dress 2022 O-Neck A-Line Backless Chiffon Bridal Gown Court Train Robe Mariée France,USD 71.30,62,USD,7%,USD 4.99,3%,USD 2.14,2,Good,5,https://s.click.aliexpress.com/e/_ACwxUl,,,,,,,,
1005003458394947,https://ae01.alicdn.com/kf/Hdd805101363544d094372a431f14a5a5S.jpg_350x350.jpg,,Mens Pants Pure Color Stretch Jeans Casual Slim Fit Work Trousers Male Vintage Wash Plus Size Pencil Pants Skinny Jeans for Men,USD 9.55,60,USD,9%,USD 0.86,9%,USD 0.86,18,Good,4.3,https://s.click.aliexpress.com/e/_9yCapx,,,,,,,,
1005003457180147,https://ae01.alicdn.com/kf/H75ba6aff57624a4888f121e6003ec040X.jpg_350x350.jpg,,RtopR Teeth Whitening Remove Smoke Stains Coffee Stains Fresh Breath Bad Breath Clean Teeth Stains Dazzle White Teeth 60ml,USD 0.01,1,USD,7%,USD 0.00,3%,USD 0.00,1487,Good,4.8,https://s.click.aliexpress.com/e/_A6uGel,,,,,,,,
1005003454265978,https://ae01.alicdn.com/kf/Hd3418e57087d4f749e8d88a65777eac0e.jpg_350x350.jpg,,Ivory Boho Wedding Dress 2022 Tulle Long Sleeve Square Neck Backless A-line Wedding Dress Formal Occasion Vestido De Novia,USD 86.16,72,USD,7%,USD 6.03,3%,USD 2.58,7,Good,5,https://s.click.aliexpress.com/e/_ATbpEZ,,,,,,,,
1005003440661018,https://ae01.alicdn.com/kf/H3713a30d335f4415b2b1bea8fa5ccc46p.jpg_350x350.jpg,https://cloud.video.taobao.com/play/u/2208311219177/p/1/e/6/t/10301/340835456858.mp4,3 Colors Hair Dye Hair Wax Styling Silver Hair Mud Grey Disposable Natural Hair Strong Gel Cream Hair Dye For Women Men 30ml,USD 0.01,1,USD,10%,USD 0.00,10%,USD 0.00,142,Good,4.6,https://s.click.aliexpress.com/e/_AmAPMz,,,,,,,,
1005003427275919,https://ae01.alicdn.com/kf/S9db12777c3ce442886a42eba2d225e1cI.png_350x350.png,https://cloud.video.taobao.com/play/u/2063184754/p/1/e/6/t/10301/337881911647.mp4,Baseus Mini Car Air Compressor 12V 150PSI Portable Car Tire Inflator Smart Digital Inflatable Pump For Car Bicycle Boat Air Pump,USD 30.79,70,USD,7%,USD 2.16,3%,USD 0.92,462,Top,4.9,https://s.click.aliexpress.com/e/_AMp6VL,,,,,,,,
